user_id,role_id_fk,username,password_hash,email
1,1,matthew_smith,banana&45,matthew.smith@gmail.com
2,1,samantha_davies,cherry&27,samantha.davies@gmail.com
3,1,tiffany_mitchell,berry&94,tiffany.mitchell@gmail.com
4,1,kevin_wells,berry@89,kevin.wells@gmail.com
5,1,kathleen_hanna,orange&13,kathleen.hanna@gmail.com
6,1,taylor_newton,peach$66,taylor.newton@gmail.com
7,1,kelly_olson,banana@14,kelly.olson@gmail.com
8,1,suzanne_thomas,grape#93,suzanne.thomas@gmail.com
9,1,daniel_ferguson,peach$38,daniel.ferguson@gmail.com
10,1,heather_day,orange$90,heather.day@gmail.com
11,1,john_duncan,berry#53,john.duncan@gmail.com
12,1,douglas_mayo,orange&12,douglas.mayo@gmail.com
13,1,kenneth_fletcher,peach#21,kenneth.fletcher@gmail.com
14,1,theresa_freeman,banana$82,theresa.freeman@gmail.com
15,1,roberta_stewart,banana#94,roberta.stewart@gmail.com
16,1,maria_dougherty,peach@29,maria.dougherty@gmail.com
17,1,erica_spencer,banana@41,erica.spencer@gmail.com
18,1,justin_kim,apple$21,justin.kim@gmail.com
19,1,denise_galloway,orange&20,denise.galloway@gmail.com
20,1,krista_smith,peach@89,krista.smith@gmail.com
21,1,gregory_smith,orange!31,gregory.smith@gmail.com
22,1,vanessa_newton,peach!38,vanessa.newton@gmail.com
23,1,stephanie_kramer,cherry!59,stephanie.kramer@gmail.com
24,1,angela_contreras,mango!57,angela.contreras@gmail.com
25,1,wendy_glenn,apple$12,wendy.glenn@gmail.com
26,1,james_ellis,banana&48,james.ellis@gmail.com
27,1,jared_bruce,mango$55,jared.bruce@gmail.com
28,1,brandy_mitchell,mango$91,brandy.mitchell@gmail.com
29,1,jacob_huynh,mango#58,jacob.huynh@gmail.com
30,1,kristina_frazier,banana$54,kristina.frazier@gmail.com
31,1,john_hartman,apple@20,john.hartman@gmail.com
32,1,heather_garcia,apple$32,heather.garcia@gmail.com
33,1,lynn_young,orange@56,lynn.young@gmail.com
34,1,emma_allison,berry&45,emma.allison@gmail.com
35,1,laura_myers,grape@83,laura.myers@gmail.com
36,1,travis_parsons,apple&95,travis.parsons@gmail.com
37,1,christine_johnson,mango@80,christine.johnson@gmail.com
38,1,emily_taylor,peach@75,emily.taylor@gmail.com
39,1,william_reynolds,cherry!52,william.reynolds@gmail.com
40,1,jennifer_carter,mango&42,jennifer.carter@gmail.com
41,1,matthew_thomas,grape#30,matthew.thomas@gmail.com
42,1,mary_logan,berry@78,mary.logan@gmail.com
43,1,kristin_martinez,peach&29,kristin.martinez@gmail.com
44,1,daniel_murphy,orange$70,daniel.murphy@gmail.com
45,1,emily_patterson,peach@62,emily.patterson@gmail.com
46,1,cameron_young,apple$63,cameron.young@gmail.com
47,1,vicki_nguyen,banana#85,vicki.nguyen@gmail.com
48,1,mary_moss,mango&81,mary.moss@gmail.com
49,1,alexander_garcia,grape@96,alexander.garcia@gmail.com
50,1,patrick_burns,cherry&60,patrick.burns@gmail.com
51,1,kayla_powers,cherry@35,kayla.powers@gmail.com
52,1,julia_cox,mango&80,julia.cox@gmail.com
53,1,penny_pruitt,banana#52,penny.pruitt@gmail.com
54,1,lori_hurst,orange@69,lori.hurst@gmail.com
